SD	Valeurs	Feuilles
-2	Valeur de flux nulle ou négative	A15
-3	Valeur de flux nulle ou négative	A15
-4	Valeur de flux nulle ou négative	A15
-5	Valeur de flux	A15
-6	Valeur de flux nulle ou négative	A15
-7	Valeur de flux	A15
-8	Valeur de flux nulle ou négative	A15
-2	Valeur de flux nulle ou négative	B15
-3	Valeur de flux nulle ou négative	B15
-4	Valeur de flux	B15
-5	Valeur de flux nulle ou négative	B15
-6	Valeur de flux nulle ou négative	B15
-7	Valeur de flux nulle ou négative	B15
-8	Valeur de flux nulle ou négative	B15
-2	Valeur de flux nulle ou négative	C15
-3	Valeur de flux nulle ou négative	C15
-4	Valeur de flux nulle ou négative	C15
-5	Valeur de flux	C15
-6	Valeur de flux nulle ou négative	C15
-7	Valeur de flux	C15
-8	Valeur de flux nulle ou négative	C15
-2	Valeur de flux nulle ou négative	A11
-3	Valeur de flux nulle ou négative	A11
-4	Valeur de flux nulle ou négative	A11
-5	Valeur de flux nulle ou négative	A11
-6	Valeur de flux nulle ou négative	A11
-7	Valeur de flux	A11
-8	Valeur de flux nulle ou négative	A11
-2	Valeur de flux nulle ou négative	B11
-3	Valeur de flux nulle ou négative	B11
-4	Valeur de flux nulle ou négative	B11
-5	Valeur de flux nulle ou négative	B11
-6	Valeur de flux nulle ou négative	B11
-7	Valeur de flux	B11
-8	Valeur de flux	B11
-2	Valeur de flux nulle ou négative	C11
-3	Valeur de flux nulle ou négative	C11
-4	Valeur de flux nulle ou négative	C11
-5	Valeur de flux nulle ou négative	C11
-6	Valeur de flux	C11
-7	Valeur de flux nulle ou négative	C11
-8	Valeur de flux nulle ou négative	C11
-2	Valeur de flux nulle ou négative	A7
-3	Valeur de flux nulle ou négative	A7
-4	Valeur de flux nulle ou négative	A7
-5	Valeur de flux nulle ou négative	A7
-6	Valeur de flux nulle ou négative	A7
-7	Valeur de flux nulle ou négative	A7
-8	Valeur de flux nulle ou négative	A7
-2	Valeur de flux nulle ou négative	B7
-3	Valeur de flux nulle ou négative	B7
-4	Valeur de flux nulle ou négative	B7
-5	Valeur de flux nulle ou négative	B7
-6	Valeur de flux nulle ou négative	B7
-7	Valeur de flux nulle ou négative	B7
-8	Valeur de flux	B7
-2	Valeur de flux nulle ou négative	C7
-3	Valeur de flux nulle ou négative	C7
-4	Valeur de flux nulle ou négative	C7
-5	Valeur de flux nulle ou négative	C7
-6	Valeur de flux nulle ou négative	C7
-7	Valeur de flux	C7
-8	Valeur de flux nulle ou négative	C7
-2	Valeur de flux nulle ou négative	A3
-3	Valeur de flux nulle ou négative	A3
-4	Valeur de flux nulle ou négative	A3
-5	Valeur de flux nulle ou négative	A3
-6	Valeur de flux	A3
-7	Valeur de flux	A3
-8	Valeur de flux nulle ou négative	A3
-2	Valeur de flux nulle ou négative	B3
-3	Valeur de flux nulle ou négative	B3
-4	Valeur de flux nulle ou négative	B3
-5	Valeur de flux nulle ou négative	B3
-6	Valeur de flux nulle ou négative	B3
-7	Valeur de flux	B3
-8	Valeur de flux nulle ou négative	B3
-2	Valeur de flux nulle ou négative	C3
-3	Valeur de flux nulle ou négative	C3
-4	Valeur de flux	C3
-5	Valeur de flux nulle ou négative	C3
-6	Valeur de flux nulle ou négative	C3
-7	Valeur de flux nulle ou négative	C3
-8	Valeur de flux nulle ou négative	C3
