SD	Valeurs	Feuilles
-2	PAS FIT	A15
-3	PAS FIT	A15
-4	PAS FIT	A15
-5	FIT	A15
-6	PAS FIT	A15
-7	FIT	A15
-8	PAS FIT	A15
-2	PAS FIT	B15
-3	PAS FIT	B15
-4	FIT	B15
-5	PAS FIT	B15
-6	PAS FIT	B15
-7	PAS FIT	B15
-8	PAS FIT	B15
-2	PAS FIT	C15
-3	PAS FIT	C15
-4	PAS FIT	C15
-5	FIT	C15
-6	PAS FIT	C15
-7	FIT	C15
-8	PAS FIT	C15
-2	PAS FIT	A11
-3	PAS FIT	A11
-4	PAS FIT	A11
-5	PAS FIT	A11
-6	PAS FIT	A11
-7	FIT	A11
-8	PAS FIT	A11
-2	PAS FIT	B11
-3	PAS FIT	B11
-4	PAS FIT	B11
-5	PAS FIT	B11
-6	PAS FIT	B11
-7	FIT	B11
-8	FIT	B11
-2	PAS FIT	C11
-3	PAS FIT	C11
-4	PAS FIT	C11
-5	PAS FIT	C11
-6	FIT	C11
-7	PAS FIT	C11
-8	PAS FIT	C11
-2	PAS FIT	A7
-3	PAS FIT	A7
-4	PAS FIT	A7
-5	PAS FIT	A7
-6	PAS FIT	A7
-7	PAS FIT	A7
-8	PAS FIT	A7
-2	PAS FIT	B7
-3	PAS FIT	B7
-4	PAS FIT	B7
-5	PAS FIT	B7
-6	PAS FIT	B7
-7	PAS FIT	B7
-8	FIT	B7
-2	PAS FIT	C7
-3	PAS FIT	C7
-4	PAS FIT	C7
-5	PAS FIT	C7
-6	PAS FIT	C7
-7	FIT	C7
-8	PAS FIT	C7
-2	PAS FIT	A3
-3	PAS FIT	A3
-4	PAS FIT	A3
-5	PAS FIT	A3
-6	FIT	A3
-7	FIT	A3
-8	PAS FIT	A3
-2	PAS FIT	B3
-3	PAS FIT	B3
-4	PAS FIT	B3
-5	PAS FIT	B3
-6	PAS FIT	B3
-7	FIT	B3
-8	PAS FIT	B3
-2	PAS FIT	C3
-3	PAS FIT	C3
-4	FIT	C3
-5	PAS FIT	C3
-6	PAS FIT	C3
-7	PAS FIT	C3
-8	PAS FIT	C3
